news,fakeness
Kendrapara will not vote for Congress or BJD. It?s BJP everywhere in this seat. Watch. https://t.co/NLFOBzpeo5,1
"Sharing some more glimpses from Ahmedabad, where I voted. https://t.co/AkBFKfiqHN",1
"Voted! 

It feels great to be taking part in our democratic process. https://t.co/b3g8CT7t7A",1
Urging all those voting in today?s Third Phase of the 2019 Lok Sabha elections to do so in record numbers. Your vot? https://t.co/QqQWjwg8bH,1
"Campaigned in Jodhpur this evening. The mood was euphoric. 

Situation of the Congress in Rajasthan is so bad that? https://t.co/U9h11OtvoV",1
"This is how Udaipur came to support us! 

At today?s huge rally, spoke about the steps taken by the NDA Government? https://t.co/ewzaeUigwT",1
Rajasthan?s mood is clear - a vote for BJP! Speaking in Jodhpur. https://t.co/m4HCWYIkIZ,1
"Fantastic effort, @iamsrk!

I am sure the people of India, especially first time voters will pay heed to your appea? https://t.co/NHmj0yFRDb",1
"If there is one section of society Congress represents with great vigour, it is middlemen. 

Using middlemen, they? https://t.co/29GYbleGxi",1
"Did anyone imagine that the postman and post offices could be harbingers of dignity and prosperity! 

Your vote in? https://t.co/OwNMtBjiE9",1
"Dear citizens,

Your vote in 2014 gave India a strong Government that could protect the nation. 

Otherwise, the ti? https://t.co/AQRGplCAr8",1
"Sharing glimpses from Dindori and Nandurbar in Maharashtra. 

For Congress and their Mahamilawat friends, the seats? https://t.co/XaFGVloLZK",1
"Watch my speech at the huge BJP rally in Udaipur, Rajasthan. https://t.co/2T2ZaaEW8q",1
Great to catch a glimpse of the Statue of Unity on the way to Rajasthan! https://t.co/sG618SHqRL,1
Speaking in at a rally in Nandurbar. Watch. https://t.co/KXpwPyIy0h,1
"Speaking at a huge rally in Dindori, Maharashtra. Watch. https://t.co/wyysdSic8g",1
"Today on #EarthDay, we bow in reverence to Mother Earth. For years, this great planet has been home to phenomenal d? https://t.co/AN6kYha2QA",1
"Whenever Congress comes to power:

Prices are high.

Taxes are high.

Irrigation projects are delayed. 

National s? https://t.co/FoF2VVzbuD",1
"Will be heading to Maharashtra and Rajasthan yet again to seek people?s blessings. 

Calling upon the people of Din? https://t.co/r2i0eud1Uh",1
"Thank you @shekharkapur. 

Giving my best for the development of this great country that we all are blessed to be l? https://t.co/78dgSdNgBv",1
"Chittorgarh is a land of bravery. People have great attachment to the armed forces. But, the way Congress has repea? https://t.co/TcMQt5rQtB",1
"India will always be grateful to those brave personnel who sacrificed their lives in the line of duty. 

Their cour? https://t.co/ysmJp4hMDk",1
"Today?s campaigns in Rajasthan gave me a glimpse of the anger among people against the Congress misrule. 

Loans of? https://t.co/I9rGmkfWgS",1
An ex- gratia of Rs 2 lakh each for the next of kin of those who passed away has been approved from the PM?s Nation? https://t.co/ijuiayEpJi,1
"Saddened by the loss of lives due to the stampede at a temple in Thuraiyur, Trichy. My condolences to the families? https://t.co/SRFJPQsITM",1
My second rally of the day in Rajasthan. Watch from Barmer. https://t.co/usUzqge1se,1
"Real empowerment is incomplete without human dignity. 

Over the last five years, we have enhanced the dignity of s? https://t.co/UvncbiBdhl",1
"Coming back to Patan brings back many memories. 

I have grown up in this great land and this soil has given me ble? https://t.co/Ym17nkJteE",1
"Addressed a massive rally in Patan. Gujarat has decided to give BJP a similar mandate as they did in 2014! 

Talked? https://t.co/TWpPNLaEc0",1
"In the land of courage, the historical Chittorgarh. Watch my speech. https://t.co/FRYKfyWLnR",1
Strongly condemn the horrific blasts in Sri Lanka. There is no place for such barbarism in our region. India stands? https://t.co/RB2dTddlGq,1
Read this insightful interview of BJP President Shri @AmitShah with @IndianExpress https://t.co/bVsYQ9AVkY,1
"As always, Patan has shown great affection. Watch my speech. https://t.co/UgoPyhSJA9",1
"Today, we pay tributes to the great Sardar Patel whose outstanding role in the making of our present day civil serv? https://t.co/eJy8llxnVf",1
"Today, on Civil Services Day my greetings to all civil servants who are serving the nation with utmost diligence in? https://t.co/lJb67qhaCh",1
"In West Bengal, Bihar and Uttar Pradesh, people want a Government that works for development and protects our natio? https://t.co/6Pf85aLwUW",1
"Heading westwards today. Will join rallies in Patan (Gujarat), Chittorgarh and Barmer (Rajasthan). 

Gujarat and Ra? https://t.co/AjKKf41q7W",1
Greetings on Easter! The sacred thoughts of Lord Jesus Christ inspire millions. He emphasised on making our society? https://t.co/pZRwqTKqWC,1
"Campaigned in Etah, Uttar Pradesh. 

I remember coming here during the 2014 campaign as well and that time, the cro? https://t.co/iF3DY0Fx61",1
"Dear citizens,

Is removing terrorism more important or removing Modi?

Is removing poverty more important or remov? https://t.co/fPTyyX7W7M",1
"Sharing some images from the rally in Aonla. 

SP, BSP and Congress know that the first two phases have not gone as? https://t.co/iLKuq9oqd5",1
Addressing another massive campaign rally in Uttar Pradesh. Watch. https://t.co/OoQLH1SQZV,1
Mahamilawat is rattled. Their defeat is certain. UP supports BJP. Speaking at a rally in Etah. https://t.co/YWRqXPBNoj,1
"The Congress and their Mahamilawat friends have an evil design to deny the rights of reservation to SC, ST and OBC? https://t.co/mQ6CQNIptt",1
"Euphoria in Araria! 

Seeing these photos, does anyone doubt which alliance Bihar wants? https://t.co/qWTudsLivt",1
The reports of the first two phases of polling have unnerved Speed Breaker Didi so much that the TMC cadre has take? https://t.co/oA2XV7xrwQ,1
"These images from West Bengal?s Buniadpur indicate the strong desire for change across the state. 

Buniadpur, a bl? https://t.co/1bA2nxBDPz",1
"Saddened by the demise of veteran IAS officer and former Chief Secretary of Gujarat, Shri HK Khan. 

Known for outs? https://t.co/iCzIAwFBvu",1
"Want to see the direction of the wind this election? Come here to Araria, Bihar... https://t.co/53AsbSFU7m",1
Bullying of TMC won't prevent a massive defeat for that party. Bengal is with BJP. Watch from Buniadpur. https://t.co/rDz4D6AMnV,1
"BJP is not a party that exists merely for winning elections.

We are here to serve the people of India and build a? https://t.co/6otPUG0SVu",1
"Polling so far has been peaceful across India except for West Bengal, where the ruling party in the state has becom? https://t.co/xGg6xcMJcn",1
"Looking forward to interacting with the people of West Bengal, Bihar and Uttar Pradesh.

I would be addressing rall? https://t.co/KiMSlVluYo",1
"Greetings to Andhra Pradesh CM, @ncbn Garu on his birthday. Praying for his long and healthy life.",1
"Empowering India, transforming lives.

Here is a glimpse of the work we have done in the last five years, every sin? https://t.co/9M23zc4OkG",1
Our track record manifests how we have waged a successful war against Inspector Raj. Traders have benefitted due to? https://t.co/d5egYh8ypS,1
"If there is one trait one associates with small businesspersons, it is rigour and hardwork. 

It is this hardwork t? https://t.co/dMC8FXuItS",1
"Had an extensive interaction with trader friends from across India.
For decades, Congress gave the nation License R? https://t.co/10ma0lDYoD",1
You will enjoy this interview of mine with @TimesNow. Watch. #PMModiOnTimesNow https://t.co/YepqDTKBeM,1
"Watch my interview with @TimesNow at 9 this evening. 

Have shared my thoughts on a wide range of contemporary issu? https://t.co/EhlmomenqM",1
Happy to have campaigned in Thiruvananthapuram last evening. BJP?s support base in this city has been rising over t? https://t.co/GVEwTRZLqW,1
"Today we remember the sacrifice of Lord Jesus Christ. His life, rich ideals and exemplary courage are a source of s? https://t.co/Wj6Wsj970x",1
It?s no longer LDF or UDF for Kerala. BJP is people?s choice. Watch from Thiruvananthapuram. https://t.co/hdrWhVHvmv,1
"Dear First Time Voters,

This is what makes my resolve of building a New India even more stronger! https://t.co/XcEuv19b3k",1
"2014 was a mandate for hope and aspiration. 

2019 is about confidence and acceleration. 

Read my interview to? https://t.co/3rta2CLjUW",1
"RT @timesofindia: 'If there is someone at the centre of these elections, it is the 130 crore people of India'

Here's what PM @narendramodi?",1
"RT @timesofindia: In his interview to TOI, PM @narendramodi says he is confident of a massive mandate in #LokSabhaElections2019 

Read the?",1
The large audience at my rallies across Karnataka are making Congress and JD(S) nervous. On 23rd May they will get? https://t.co/Tc7FQZbLm7,1
The Honourable Chief Minister of Karnataka says talking about the valour of our armed forces makes his vote-bank un? https://t.co/WZJtrtSEkJ,1
"Tricks from the Congress playbook:

Call for two Prime Ministers, one for Kashmir and the other for the rest of Ind? https://t.co/IHch4fQ5KK",1
"Congress and JD(S) coalition has all the ingredients of drama.

There are recurring doses of emotion, conspiracy an? https://t.co/g2jCkXCVXW",1
"It makes every Indian proud that our nation is home to the world's largest statue.

Tourists from all over are comi? https://t.co/3XIZxW9vPz",1
"The affection I received from the people of Amreli will remain etched in my memory. At the rally today, highlighted? https://t.co/u46vv40FiY",1
